college,course,quota,category,min_rank,cutoff_rank
"7 Air Force Hospital,",(NBEMS) ANAESTHESIOLOGY,AF,General,73569,73569
"7 Air Force Hospital,",(NBEMS) ANAESTHESIOLOGY,AF,OBC,71354,71354
"7 Air Force Hospital,",(NBEMS) GENERAL MEDICINE,AF,OBC,36466,36466
"7 Air Force Hospital,",(NBEMS) GENERAL SURGERY,AF,General,72954,72954
"7 Air Force Hospital,NATHU SINGH ROAD KANPUR CANTT KANPUR, Uttar Pradesh, 208004",(NBEMS) GENERAL MEDICINE,AF,General,116425,116425
A.C.S. Medical College and Hospital,M.D. (ANAESTHESIOLOGY ),PS,OBC,88336,100023
A.C.S. Medical College and Hospital,"M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SK IN and VENEREAL DISEASES)/(VENERE OLOGY)",NR,General,90870,90870
A.C.S. Medical College and Hospital,"M.D. (DERM.,VENE. and LEPROSY)/ (DERMATOLOGY)/(SK IN and VENEREAL DISEASES)/(VENERE OLOGY)",PS,EWS,45360,45360
A.C.S. Medical College and Hospital,M.D. (Emergency and Critical Care)/M.D. (Emergency Medicine),PS,General,74786,74786
A.C.S. Medical College and Hospital,M.D. (Emergency and Critical Care)/M.D. (Emergency Medicine),PS,OBC,74263,79233
A.C.S. Medical College and Hospital,M.D. (Emergency and Critical Care)/M.D. (Emergency Medicine),PS,SC,62722,62722
A.C.S. Medical College and Hospital,M.D. (FORENSIC MEDICINE),PS,OBC,114656,114656
A.C.S. Medical College and Hospital,M.D. (GENERAL MEDICINE),NR,General,70405,92917
A.C.S. Medical College and Hospital,M.D. (GENERAL MEDICINE),NR,OBC,85176,85176
A.C.S. Medical College and Hospital,M.D. (GENERAL MEDICINE),PS,General,34846,48450
A.C.S. Medical College and Hospital,M.D. (GENERAL MEDICINE),PS,OBC,42866,42866
A.C.S. Medical College and Hospital,M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),NR,OBC,102784,128790
A.C.S. Medical College and Hospital,M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),PS,General,63433,63433
A.C.S. Medical College and Hospital,M.D. (PAEDIATRICS),NR,General,99255,99255
A.C.S. Medical College and Hospital,M.D. (PAEDIATRICS),NR,OBC,101600,105369
A.C.S. Medical College and Hospital,M.D. (PAEDIATRICS),PS,General,58646,59259
A.C.S. Medical College and Hospital,M.D. (PAEDIATRICS),PS,OBC,56760,56824
A.C.S. Medical College and Hospital,M.D. (PATHOLOGY),PS,General,101903,101903
A.C.S. Medical College and Hospital,M.D. (PATHOLOGY),PS,OBC,109246,121232
A.C.S. Medical College and Hospital,M.D. (PHARMACOLOGY),PS,OBC,126511,126511
A.C.S. Medical College and Hospital,M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,PS,General,98696,98696
A.C.S. Medical College and Hospital,M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,PS,OBC,118007,119971
A.C.S. Medical College and Hospital,M.D. (PREVENTIVE and SOCIAL MEDICINE)/ COMMUNITY MEDICINE,PS,SC,105567,112342
A.C.S. Medical College and Hospital,M.D. (PSYCHIATRY),PS,General,85563,85563
A.C.S. Medical College and Hospital,M.D. (RADIO- DIAGNOSIS),NR,OBC,79322,79322
